policy,scenario_id,seed,shield_enabled,success,collision,terminated,truncated,failure_type,episode_time,steps,path_length,path_length_ratio,minimum_clearance,mean_cross_track_error,max_cross_track_error,idle_time,angular_oscillation,action_smoothness,shield_pass,shield_clamp,shield_stop,shield_interventions,unsafe_without_shield,shield_sustained_time,safety_cost,inference_ms,simulation_steps_per_second
bc_dagger,S5,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,12.055293043310407,1.1275310541040895,0.030326923354898894,2.3888494279679144,4.424484973685539,0.0,1,0.00020003698591608554,336,24,0,24,24,0.1,11.489695893034183,0.059454963881459356,933.870410505176
lite_rule_baseline,S5,1001,False,1,0,1,0,,9.049999999999851,181,10.434929807002693,0.9759785483871608,0.08041612935618364,0.006885738310750025,0.05823718477871802,0.0,1,0.0016420953907072544,181,0,0,0,0,0.0,5.880767801205137,0.024057115950410702,976.6542773868483
bc,S5,1001,False,1,0,1,0,,9.54999999999984,191,10.630041588784179,0.9942273451762429,0.17318136110698956,0.13307955946505107,0.30514730332152606,0.0,2,0.0007337149581871927,191,0,0,0,0,0.0,1.1721183071551238,0.06091739259037331,939.0338792745368
ppo,S5,1001,False,0,0,0,1,TIMEOUT,18.000000000000014,360,5.979318824928857,0.5592454395986322,0.14661570223885056,1.1267778039500342,2.2116265712634364,0.0,0,0.0026318717282265425,360,0,0,0,0,0.0,2.4301984127151974,0.07222056395524608,924.9521235787226
bc_dagger,S5,1001,False,0,1,1,0,COLLISION_STATIC,3.0699999999999785,62,3.283685703462146,0.30712298649809516,-0.00047758036917239233,0.6794682090892182,1.6115691968421249,0.0,0,0.00016408726514782757,62,0,0,0,15,0.0,2.5771439541575614,0.06160346768616188,955.1245513469418
lite_rule_baseline,S5,1001,True,1,0,1,0,,9.049999999999851,181,10.434929807002693,0.9759785483871608,0.08041612935618364,0.006885738310750025,0.05823718477871802,0.0,1,0.0016420953907072544,181,0,0,0,0,0.0,5.880767801205137,0.02368489500310128,979.1259542717409
bc,S5,1001,True,1,0,1,0,,9.54999999999984,191,10.630041588784179,0.9942273451762429,0.17318136110698956,0.13307955946505107,0.30514730332152606,0.0,2,0.0007337149581871927,191,0,0,0,0,0.0,1.1721183071551238,0.06013134556631399,944.1147487603658
ppo,S5,1001,True,0,0,0,1,TIMEOUT,18.000000000000014,360,5.979318824928857,0.5592454395986322,0.14661570223885056,1.1267778039500342,2.2116265712634364,0.0,0,0.0026318717282265425,360,0,0,0,0,0.0,2.4301984127151974,0.0716123611204643,925.8634158563392
bc_dagger,S5,1001,True,0,0,0,1,TIMEOUT,18.000000000000014,360,12.055293043310407,1.1275310541040895,0.030326923354898894,2.3888494279679144,4.424484973685539,0.0,1,0.00020003698591608554,336,24,0,24,24,0.1,11.489695893034183,0.059324455545114084,935.7281475806557
lite_rule_baseline,D0,1000,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.37627882454757,0.0,0.0,0.0,0,0.0004686947213485837,166,0,0,0,7,0.0,0.0,0.023909114440675144,1041.8720598246719
bc,D0,1000,False,1,0,1,0,,8.349999999999866,167,9.808963755052678,0.9808963755052679,0.4782724456564863,0.057207843727859364,0.14902306234860863,0.0,1,0.0007272183429449797,167,0,0,0,0,0.0,0.0,0.05973477838158365,999.2739825791159
ppo,D0,1000,False,0,0,0,1,TIMEOUT,18.000000000000014,360,6.650110763470067,0.6650110763470067,0.642499976562566,0.12988382882496272,0.2574456712387665,0.0,0,0.0036909827031195164,360,0,0,0,0,0.0,0.0,0.07352336385035112,967.605703364091
bc_dagger,D0,1000,False,1,0,1,0,,11.299999999999804,226,10.324797771343484,1.0324797771343484,0.642499976562566,0.7604171828037598,1.510913447948473,0.0,2,0.00014229309454094619,226,0,0,0,0,0.0,0.0,0.05947803981296731,1002.539063255793
lite_rule_baseline,D0,1000,True,1,0,1,0,,8.499999999999863,170,9.779264851808597,0.9779264851808597,0.4825891077089365,0.0,0.0,0.0,0,0.00048260902985930443,169,1,0,1,1,0.05,0.0,0.02361965887436835,1046.6495264862829
