total_timesteps,episode_reward,episode_length,success,collision,safety_cost,minimum_clearance,shield_interventions,policy_loss,value_loss,entropy,approx_kl,eval_success_rate,eval_collision_rate,eval_mean_time
75776,102.97403729701475,176,1,0,0.0,0.642499976562566,0,-0.09282740950584412,0.1023334264755249,-0.16655409336090088,0.011088114231824875,nan,nan,nan
76800,103.66891834447071,171,1,0,0.0,0.642499976562566,0,0.04103359580039978,0.11668355762958527,-0.1665881872177124,0.011369970627129078,1.0,0.0,9.049999999999851
77824,103.3643169156829,174,1,0,0.0,0.642499976562566,0,0.008732490241527557,0.07599321752786636,-0.166611909866333,0.018839508295059204,nan,nan,nan
78848,105.67485960835677,186,1,0,0.0,0.2375660409014244,0,-0.1578960120677948,0.11538262665271759,-0.16660630702972412,0.021783392876386642,nan,nan,nan
79872,103.52736376076454,198,1,0,0.0,0.16867744852670574,0,0.20865362882614136,0.06694862246513367,-0.16660964488983154,0.018640372902154922,nan,nan,nan
80896,95.66417734716455,201,1,0,0.0,0.06905799368565368,0,0.24977660179138184,0.06913509964942932,-0.16662132740020752,0.03678802028298378,nan,nan,nan
81920,103.97945270624027,187,1,0,0.0,0.642499976562566,0,-0.05586957186460495,0.09260733425617218,-0.16667640209197998,0.012532927095890045,1.0,0.0,9.449999999999845
82944,104.00497789187622,190,1,0,0.0,0.2360970564241237,0,0.0013557560741901398,0.07146777212619781,-0.1666865348815918,0.013311863876879215,nan,nan,nan
83968,94.86685274051123,210,1,0,0.0,0.1311459987875046,0,-0.13039201498031616,0.057859793305397034,-0.16665267944335938,0.013319524005055428,nan,nan,nan
84992,101.26926031643315,195,1,0,0.0,0.11152780654393418,1,-0.1280396282672882,0.050346579402685165,-0.16663002967834473,0.010759497992694378,nan,nan,nan
86016,105.87008702803267,181,1,0,0.0,0.642499976562566,0,-0.008773230016231537,0.26083090901374817,-0.16651523113250732,0.026926089078187943,nan,nan,nan
87040,94.13335256288818,190,1,0,0.0,0.07569689513704725,2,-0.09294533729553223,0.04538242146372795,-0.16653573513031006,0.01110257487744093,1.0,0.0,9.299999999999846
88064,105.03893122083194,189,1,0,0.0,0.642499976562566,0,-0.1122700423002243,0.3974144458770752,-0.1665574312210083,0.014822161756455898,nan,nan,nan
89088,103.27569134619402,188,1,0,0.0,0.1557080402159835,0,0.09738989174365997,0.6552069187164307,-0.16655981540679932,0.029428131878376007,nan,nan,nan
90112,106.09521906562978,184,1,0,0.0,0.642499976562566,0,0.18794918060302734,0.5234368443489075,-0.1665555238723755,0.010594870895147324,nan,nan,nan
91136,105.78551304155506,178,1,0,0.0,0.6424999924043545,0,-0.1664733588695526,0.07189763337373734,-0.16654455661773682,0.024951908737421036,nan,nan,nan
92160,98.95320904964169,194,1,0,0.0,0.08467103214301708,0,0.030394721776247025,0.609795331954956,-0.1665400266647339,0.01751212775707245,1.0,0.0,8.816666666666523
93184,-159.37918960576943,360,0,0,0.26812203222449904,0.03187796777550095,268,0.0827895924448967,1.130975604057312,-0.16651129722595215,0.019528135657310486,nan,nan,nan
94208,105.97669135964502,180,1,0,0.0,0.16139913510522963,1,-0.17647066712379456,0.14639770984649658,-0.166495680809021,0.0303790420293808,nan,nan,nan
95232,103.00652505380775,180,1,0,0.0,0.09043424158864988,1,0.40444833040237427,0.07624155282974243,-0.16648268699645996,0.011236694641411304,nan,nan,nan
96256,100.4678849163029,188,1,0,0.0,0.06598925284655688,1,0.03774057328701019,0.16731078922748566,-0.16649210453033447,0.02067423053085804,nan,nan,nan
97280,107.30814466485106,171,1,0,0.0,0.642499976562566,0,0.19634810090065002,0.7382551431655884,-0.1665036678314209,0.018675219267606735,0.3333333333333333,0.0,14.833333333333298
98304,-136.32418073594226,360,0,0,0.2661396181146072,0.03386038188539281,247,-0.04496851935982704,1.0233765840530396,-0.16648221015930176,0.010694040916860104,nan,nan,nan
99328,-131.2198617844027,360,0,0,0.26739907581085876,0.032600924189141234,247,0.09070777893066406,1.0304474830627441,-0.16644978523254395,0.023342186585068703,nan,nan,nan
100000,104.25058910324714,181,1,0,0.0,0.6424999959628571,0,0.08288222551345825,0.7967175245285034,-0.16644227504730225,0.015997380018234253,0.3333333333333333,0.0,15.016666666666628
