policy,scenario_id,seed,shield_enabled,success,collision,terminated,truncated,failure_type,episode_time,steps,path_length,path_length_ratio,minimum_clearance,mean_cross_track_error,max_cross_track_error,idle_time,angular_oscillation,total_abs_rotation,action_smoothness,shield_pass,shield_clamp,shield_stop,shield_interventions,unsafe_without_shield,shield_sustained_time,safety_cost,inference_ms,simulation_steps_per_second
lite_rule_baseline,S4,1000,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.18999999999999984,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,4.242549167456301,0.023799656588950262,978.7041003786077
bc,S4,1000,False,1,0,1,0,,8.19999999999987,164,9.798782252608717,0.9798782252608718,0.08545606912008752,0.03604147323611273,0.10454393087991232,0.0,0,0.24639475887961446,0.00017555667727719992,164,0,0,0,0,0.0,7.966831498133853,0.05890779876364565,942.2469225724038
ppo,S4,1000,False,0,0,0,1,TIMEOUT,18.000000000000014,360,7.388260283409649,0.7388260283409649,0.44944241191639733,0.3264008488268239,0.680932412707925,0.0,1,10.679762773178513,0.0006454859976656735,360,0,0,0,0,0.0,0.0,0.07126657222013616,925.3024938517648
bc_dagger,S4,1000,False,1,0,1,0,,12.099999999999786,242,10.597355867156121,1.0597355867156122,0.642499976562566,0.8455453812661616,1.7496732246356586,0.0,1,2.20194002720702,0.00022191459720488638,242,0,0,0,0,0.0,0.0,0.05948759927896615,939.923087489585
lite_rule_baseline,S4,1000,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.18999999999999984,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,4.242549167456301,0.02351104225212966,981.7368325039743
bc,S4,1000,True,1,0,1,0,,8.19999999999987,164,9.798782252608717,0.9798782252608718,0.08545606912008752,0.03604147323611273,0.10454393087991232,0.0,0,0.24639475887961446,0.00017555667727719992,164,0,0,0,0,0.0,7.966831498133853,0.05876015241416853,944.1054079395925
ppo,S4,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,7.388260283409649,0.7388260283409649,0.44944241191639733,0.3264008488268239,0.680932412707925,0.0,1,10.679762773178513,0.0006454859976656735,360,0,0,0,0,0.0,0.0,0.07169524721777837,923.3477125507743
bc_dagger,S4,1000,True,1,0,1,0,,12.099999999999786,242,10.597355867156121,1.0597355867156122,0.642499976562566,0.8455453812661616,1.7496732246356586,0.0,1,2.20194002720702,0.00022191459720488638,242,0,0,0,0,0.0,0.0,0.05944748763870525,938.7998802079845
lite_rule_baseline,S4,1001,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.18999999999999984,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,4.242549167456301,0.023668222901648394,981.5921898380008
bc,S4,1001,False,1,0,1,0,,8.19999999999987,164,9.798782252608717,0.9798782252608718,0.08545606912008752,0.03604147323611273,0.10454393087991232,0.0,0,0.24639475887961446,0.00017555667727719992,164,0,0,0,0,0.0,7.966831498133853,0.06008305480485788,933.8171341151614
ppo,S4,1001,False,0,0,0,1,TIMEOUT,18.000000000000014,360,7.388260283409649,0.7388260283409649,0.44944241191639733,0.3264008488268239,0.680932412707925,0.0,1,10.679762773178513,0.0006454859976656735,360,0,0,0,0,0.0,0.0,0.07548566390040731,807.9920142027427
bc_dagger,S4,1001,False,1,0,1,0,,12.099999999999786,242,10.597355867156121,1.0597355867156122,0.642499976562566,0.8455453812661616,1.7496732246356586,0.0,1,2.20194002720702,0.00022191459720488638,242,0,0,0,0,0.0,0.0,0.060170309853291214,937.1129157304022
lite_rule_baseline,S4,1001,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.18999999999999984,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,4.242549167456301,0.023862174783566132,977.4969600452347
